player_id,player_name,team,team_id,matches_played,value_eur,wage_eur,age,height_cm,weight_kg,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,competition,tackle_success_rate,interception_success_rate,head_clearance_success_rate,headed_shot_duel_rate,pass_completion_rate,crosses_completed,cutbacks_completed,switches_completed,through_balls_completed,progressive_passes_completed,progressive_passes_accuracy,passes_final_third_accuracy,passes_to_box_accuracy,progressive_carries_rate,avg_carry_distance,duel_success_rate,yellow_cards,red_cards,dribble_success_rate,minutes_played,goals_scored,shot_accuracy,xg_total,avg_xg,goals_minus_xg,conversion_rate_inside_box,save_percentage,penalties_saved,penalty_save_percentage,xg_against,clean_sheets,goals_conceded,xg_against_minus_goals_conceded,tackles_successful_per90,interceptions_per90,clearances_per90,blocks_per90,head_clearances_per90,head_clearances_won_per90,times_dribbled_past_per90,ball_recoveries_per90,offensive_recoveries_per90,pressures_per90,counterpress_per90,total_passes_per90,completed_passes_per90,incomplete_passes_per90,passes_out_per90,offside_passes_per90,failed_passes_per90,ground_passes_per90,low_passes_per90,high_passes_per90,deflected_passes_per90,crosses_total_per90,crosses_completed_per90,cutbacks_total_per90,cutbacks_completed_per90,switches_total_per90,switches_completed_per90,through_balls_total_per90,through_balls_completed_per90,passes_own_half_per90,passes_opposition_half_per90,progressive_passes_per90,progressive_passes_completed_per90,passes_final_third_per90,passes_to_box_per90,carries_per90,progressive_carries_per90,dribbles_completed_per90,duels_total_per90,duels_won_per90,fouls_won_per90,fouls_committed_per90,penalties_won_per90,penalties_conceded_per90,penalties_saved_per90,saves_per90,keeper_sweeper_per90,shots_total_per90,non_blocked_shots_per90,shots_on_target_per90,shots_off_target_per90,blocked_shots_per90,shots_inside_box_per90,free_kick_goals_per90,goals_scored_per90,penalty_goals_per90,goal_assists_per90,key_passes_per90,chances_created_per90,goals_conceded_per90,xg_total_per90,goals_minus_xg_per90,xg_against_per90,xg_against_minus_goals_conceded_per90,yellow_cards_per90,red_cards_per90,main_position,aerial_dominance_index_per90,rating,sufficient_minutes_played,aerial_dominance_index
3023,Yuri Berchiche Izeta,Real Sociedad,210,21,1800000.0,20000.0,25,177,77,,2016.0,45,Spain,Left,Spain - La Liga,56.86,62.75,51.43,0.0,75.2,15.0,0.0,15.0,0.0,213,65.14,64.23,30.21,69.16,14.7,50.98,10,0,46.43,1954,0,18.18,0.38,0.02,-0.38,0.0,0.0,0,0.0,0.0,0,0,0.0,1.33,1.47,2.48,2.39,1.61,0.82,1.01,4.14,0.0,13.54,2.53,54.44,40.94,11.46,1.84,0.18,13.49,27.26,15.66,11.83,0.18,3.36,0.69,0.23,0.0,1.42,0.69,0.09,0.0,22.2,32.24,15.06,9.81,23.3,4.42,14.18,9.81,0.59,2.34,1.19,1.19,1.47,0.0,0.09,0.0,0.0,0.0,0.64,0.5,0.09,0.41,0.13,0.23,0.0,0.0,0.0,0.18,0.59,0.78,0.0,0.01,-0.02,0.0,0.0,0.46,0.0,side back,0.0,67.17003318192069,True,0.0
3063,Danilo Luiz da Silva,Real Madrid,220,24,16500000.0,90000.0,23,184,78,,2021.0,54,Brazil,Right,Spain - La Liga,64.18,61.11,53.12,100.0,84.91,15.0,0.0,18.0,0.0,189,65.4,70.95,30.69,62.07,11.6,59.7,6,0,66.67,2136,2,42.86,0.95,0.05,1.04,33.33,0.0,0,0.0,0.0,0,0,0.0,1.81,1.39,2.1,1.76,1.34,0.71,1.51,3.75,0.0,11.25,2.52,62.52,53.08,8.51,0.63,0.29,9.43,43.23,11.37,8.21,0.04,2.4,0.63,0.04,0.0,1.34,0.75,0.04,0.0,25.91,36.61,12.17,7.96,20.6,4.25,15.88,9.85,0.67,2.82,1.68,1.01,1.72,0.0,0.0,0.0,0.0,0.0,0.75,0.58,0.25,0.33,0.16,0.25,0.0,0.08,0.0,0.21,0.5,0.71,0.0,0.04,0.04,0.0,0.0,0.25,0.0,side back,0.0,71.03765986920526,True,0.0
3084,Christian Atsu Twasam,Málaga,223,11,375000.0,4000.0,25,182,77,,2016.0,52,Argentina,Right,Spain - La Liga,66.67,66.67,0.0,0.0,78.31,2.0,0.0,0.0,0.0,11,57.89,61.67,30.43,63.86,16.76,66.67,0,0,56.52,276,2,66.67,1.25,0.13,0.74,33.33,0.0,0,0.0,0.0,0,0,0.0,1.3,0.65,0.32,2.93,0.0,0.0,0.97,5.21,0.0,21.19,4.89,46.63,36.52,9.78,0.32,0.0,10.1,36.19,4.23,6.19,0.32,2.93,0.65,0.0,0.0,0.32,0.0,0.0,0.0,15.32,31.3,6.19,3.58,19.56,7.5,27.06,17.28,4.23,1.95,1.3,3.26,0.97,0.0,0.0,0.0,0.0,0.0,2.93,2.93,1.95,0.97,0.0,1.95,0.0,0.65,0.0,0.0,1.95,1.95,0.0,0.41,0.24,0.0,0.0,0.0,0.0,winger,0.0,S.V,False,0.0
3130,Gaël Kakuta,Sevilla,213,2,6500000.0,60000.0,24,173,64,,2019.0,18,France,Left,Spain - La Liga,100.0,0.0,0.0,0.0,57.14,0.0,0.0,0.0,0.0,2,50.0,50.0,33.33,66.67,10.33,100.0,1,0,100.0,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,1.93,0.0,0.0,0.96,0.0,0.0,0.96,1.93,0.0,24.19,7.74,13.54,7.74,4.83,0.96,0.0,5.8,5.8,5.8,2.9,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,8.7,3.87,1.93,5.8,2.9,2.9,1.93,0.96,1.93,1.93,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,winger,0.0,S.V,False,0.0
3160,Rene Krhin,Granada,1049,23,4500000.0,35000.0,25,189,78,,2019.0,44,Slovenia,Right,Spain - La Liga,64.7,71.05,45.95,100.0,76.97,0.0,0.0,5.0,1.0,60,48.0,45.35,7.69,50.41,12.28,64.7,3,0,84.62,1496,0,14.29,0.51,0.06,-0.52,0.0,0.0,0,0.0,0.0,0,0,0.0,1.32,1.62,3.3,1.74,2.22,1.02,1.98,3.66,0.0,16.42,3.24,32.12,24.72,6.67,0.48,0.24,7.39,20.63,5.11,6.55,0.06,0.06,0.0,0.0,0.0,0.42,0.3,0.12,0.06,21.53,10.58,7.52,3.6,5.17,0.78,7.39,3.72,0.66,2.04,1.32,1.26,1.62,0.0,0.0,0.0,0.0,0.0,0.48,0.42,0.06,0.36,0.06,0.3,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.03,-0.04,0.0,0.0,0.18,0.0,defensive midfield,0.0,48.27438393818753,True,0.0
3236,Sergi Darder Moll,Málaga,223,1,250000.0,2000.0,17,179,71,,2016.0,45,Spain,Right,Spain - La Liga,25.0,0.0,0.0,0.0,85.0,1.0,0.0,1.0,0.0,7,77.78,70.0,40.0,64.29,13.1,25.0,1,0,100.0,93,0,33.33,0.07,0.02,-0.08,0.0,0.0,0,0.0,0.0,0,0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.96,2.9,0.0,13.54,3.87,38.7,32.9,5.8,0.0,0.0,5.8,30.0,0.96,7.74,0.0,0.96,0.96,0.0,0.0,0.96,0.96,0.0,0.0,16.45,22.25,8.7,6.77,19.35,4.83,13.54,8.7,2.9,3.87,0.96,0.96,0.96,0.0,0.0,0.0,0.0,0.0,2.9,2.9,0.96,1.93,0.0,0.96,0.0,0.0,0.0,0.0,0.96,0.96,0.0,0.06,-0.07,0.0,0.0,0.96,0.0,defensive midfield,0.0,S.V,False,0.0
3240,Mathew Ryan,Valencia,207,8,9500000.0,80000.0,23,182,85,,2021.0,195,Australia,Right,Spain - La Liga,0.0,0.0,0.0,0.0,66.05,0.0,0.0,3.0,0.0,90,48.39,22.22,0.0,54.29,10.27,0.0,0,0,0.0,749,0,0.0,0.0,0.0,0.0,0.0,70.97,0,0.0,4.91,1,9,-4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.24,4.56,0.0,0.12,0.12,32.56,21.5,10.57,0.36,0.12,11.05,10.33,1.2,21.98,0.0,0.0,0.0,0.0,0.0,0.72,0.36,0.0,0.0,32.56,0.0,22.34,10.81,4.32,0.24,8.41,4.56,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2.64,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.58,-0.5,0.0,0.0,goalkeeper,1.622162883845127,S.V,False,
3253,Adil Rami,Sevilla,213,28,7500000.0,80000.0,29,190,88,,2019.0,18,France,Right,Spain - La Liga,57.89,81.48,28.77,54.55,79.28,0.0,0.0,42.0,0.0,135,45.76,44.83,17.39,55.31,12.44,57.89,8,1,60.0,2604,0,21.43,1.58,0.09,-1.59,0.0,0.0,0,0.0,0.0,0,0,0.0,0.38,0.76,3.76,1.24,2.52,0.72,0.24,3.73,0.0,4.7,0.82,37.53,29.75,6.46,1.17,0.13,7.77,23.43,3.97,10.57,0.0,0.2,0.0,0.0,0.0,1.93,1.45,0.03,0.0,32.31,5.21,10.19,4.66,7.01,1.58,11.05,6.11,0.1,0.65,0.38,0.65,0.93,0.03,0.0,0.0,0.0,0.0,0.55,0.48,0.1,0.38,0.06,0.51,0.0,0.0,0.0,0.03,0.13,0.17,0.0,0.05,-0.06,0.0,0.0,0.27,0.03,center back,0.0,60.987694173807576,True,0.0
3292,Abdoulaye Doucouré,Granada,1049,15,1700000.0,8000.0,20,163,55,,2018.0,117,Ghana,Right,Spain - La Liga,56.0,73.91,75.0,0.0,84.86,2.0,0.0,18.0,0.0,57,58.16,64.86,37.5,48.28,10.59,56.0,5,0,55.56,1215,0,0.0,0.75,0.07,-0.76,0.0,0.0,0,0.0,0.0,0,0,0.0,1.03,1.25,1.11,2.0,0.29,0.22,1.18,6.51,0.0,21.18,3.77,42.07,35.7,5.48,0.74,0.14,6.37,30.96,6.22,5.55,0.14,0.22,0.14,0.0,0.0,1.92,1.33,0.14,0.0,24.07,18.0,7.25,4.22,8.22,1.18,12.88,6.22,0.74,1.85,1.03,0.59,1.48,0.0,0.0,0.0,0.0,0.0,0.74,0.37,0.0,0.29,0.37,0.29,0.0,0.0,0.0,0.14,0.66,0.81,0.0,0.05,-0.06,0.0,0.0,0.37,0.0,defensive midfield,0.0,60.54364541416393,True,0.0
3324,Eric Bertrand Bailly,Villarreal,222,25,4100000.0,30000.0,21,187,77,,2020.0,108,Côte d'Ivoire,Right,Spain - La Liga,52.94,52.17,46.27,100.0,78.31,0.0,0.0,16.0,0.0,124,54.87,52.38,30.0,53.94,11.73,52.94,10,1,78.56,2328,0,25.0,0.4,0.1,-0.41,0.0,0.0,0,0.0,0.0,0,0,0.0,1.04,0.92,4.94,1.5,2.59,1.19,0.15,3.44,0.0,7.26,0.73,32.08,25.12,6.34,0.54,0.07,6.95,20.87,3.94,7.57,0.03,0.0,0.0,0.0,0.0,0.81,0.61,0.03,0.0,26.86,5.21,8.73,4.79,4.05,0.38,9.81,5.29,0.42,1.97,1.04,1.08,1.39,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.03,0.11,0.0,0.15,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.01,-0.02,0.0,0.0,0.38,0.03,center back,0.0,56.18861759987479,True,0.0
